epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.579,1.41606,4.16382,1.09489,0.01635,0.57399,0.13565,0.08366,0.99204,4.19678,0.88128,0.000147,0.000147,0.000147
2,355.486,1.21287,2.91831,0.9706,0.69607,0.16257,0.2679,0.17951,1.03115,3.27619,0.89189,0.000293942,0.000293942,0.000293942
3,516.137,1.17359,2.43646,0.95375,0.26882,0.23268,0.3666,0.26184,1.04608,2.61764,0.92205,0.000434831,0.000434831,0.000434831
4,662.014,1.11772,2.01047,0.95631,0.32843,0.38905,0.40203,0.28795,1.04635,1.9623,0.95508,0.000553073,0.000553073,0.000553073
5,817.219,1.12327,1.98399,0.94716,0.3438,0.56807,0.49258,0.35748,0.99232,1.61987,0.93823,0.00054143,0.00054143,0.00054143
6,968.823,1.07962,1.71311,0.94292,0.5207,0.5819,0.56982,0.40491,1.00101,1.62935,0.93354,0.000529788,0.000529788,0.000529788
7,1124.08,1.05993,1.50529,0.94567,0.4444,0.67177,0.57533,0.4227,0.96746,1.39716,0.93231,0.000518146,0.000518146,0.000518146
8,1275.9,1.02135,1.40498,0.92287,0.46541,0.65718,0.61778,0.45018,0.95926,1.38186,0.9383,0.000506503,0.000506503,0.000506503
9,1447.39,1.00753,1.3198,0.91883,0.79815,0.58565,0.73752,0.54846,0.94909,1.28473,0.92545,0.000494861,0.000494861,0.000494861
10,1614.72,0.98223,1.33354,0.92198,0.71519,0.77324,0.80318,0.58778,0.94877,1.27415,0.92474,0.000483218,0.000483218,0.000483218
11,1780.5,0.98737,1.22462,0.91157,0.8116,0.78854,0.86056,0.65752,0.91847,1.05562,0.92763,0.000471576,0.000471576,0.000471576
12,1974.85,0.97625,1.20026,0.92341,0.79565,0.81633,0.86616,0.66661,0.88218,1.13958,0.91138,0.000459934,0.000459934,0.000459934
13,2138.18,0.96858,1.12118,0.9158,0.8253,0.82601,0.91509,0.69245,0.89483,1.01017,0.91212,0.000448291,0.000448291,0.000448291
14,2310.27,0.96796,1.07479,0.91603,0.87678,0.82657,0.93894,0.71545,0.89032,0.97573,0.91611,0.000436649,0.000436649,0.000436649
15,2495.25,0.91481,0.99466,0.89949,0.87505,0.88607,0.95079,0.75031,0.84102,0.88716,0.89762,0.000425006,0.000425006,0.000425006
16,2660.43,0.94415,0.97307,0.90376,0.93272,0.87594,0.95483,0.73575,0.87089,0.87087,0.90673,0.000413364,0.000413364,0.000413364
17,2807.31,0.93521,0.94165,0.91703,0.95189,0.88349,0.95391,0.71349,0.91365,0.88817,0.9126,0.000401722,0.000401722,0.000401722
18,2954.98,0.87768,0.86491,0.89268,0.94502,0.92084,0.96403,0.75927,0.83108,0.81642,0.89518,0.000390079,0.000390079,0.000390079
